date, pm25, pm10, o3, no2, so2, co
27-11-20,59,40,20,10, , 
28-11-20,71,35,24,11, , 
29-11-20,71,27,21,9, , 
30-11-20,60,37,17,12,1, 
01-12-20,66,33,18,10,1, 
02-12-20,67,32,18,9,1, 
03-12-20,68,39,20,10,1, 
04-12-20,80,42,21,11, , 
05-12-20,83,51,23,16,1, 
06-12-20,91,56,20,20,1, 
07-12-20,109,54,22,17,1, 
08-12-20,104,53,22,16,1, 
09-12-20,103,64,25,22,2, 
10-12-20,132,71,28,15,2, 
11-12-20,148,65,22,17,1, 
12-12-20,140,70,16,23,2, 
13-12-20,143,71,15,25,1, 
14-12-20,161,76,7,24,3, 
15-12-20,149,51,10,15,2, 
16-12-20,107,44,13,16,2, 
17-12-20,83,50,24,25,1, 
18-12-20,93,43,20,17,1, 
19-12-20,79,42,21,15,1, 
20-12-20,81,47,19,25,1, 
21-12-20,88,60,20,26,2, 
22-12-20,116,64,19,28,2, 
23-12-20,128,63,19,31,2, 
24-12-20,138,57,9,25,2, 
25-12-20,120,55,14,28,2, 
26-12-20,106,51,20,18,1, 
27-12-20,101,42,15,17,1, 
28-12-20,81,55,16,24,1, 
29-12-20,105,51,11,18,2, 
30-12-20,98,38,19,5,1, 
31-12-20,76,42,24,8,1, 
01-01-21,82,46,25,11,1, 
02-01-21,93,58,26,14,2, 
03-01-21,130,56,21,17,2, 
01-07-20,46,21,3,5, , 
02-07-20,46,22,5,6, , 
03-07-20,55,29,8,5, , 
04-07-20,60,23,7,3, , 
05-07-20,55,23,10,3, , 
06-07-20,50,23,14,3, , 
07-07-20,53,19,6,5,1, 
08-07-20,47,23,12,5,2, 
09-07-20,50,22,5,6,2, 
10-07-20,53,26,7,7,1, 
11-07-20,50,24,13,7,2, 
12-07-20,50,27,9,9,1, 
13-07-20,42,24,6,8,1, 
14-07-20,53,27,8,8,2, 
15-07-20,57,25,94,7,1, 
16-07-20,51,26,13,6,2, 
17-07-20,53,26,15,7,1, 
18-07-20,65,18,6,4,2, 
19-07-20,42,29,2,10,2, 
20-07-20,61,28,3,16,1, 
21-07-20,60,26,8,12,2, 
22-07-20,63,21,5,7,1, 
23-07-20,56,25,3,11,2, 
24-07-20,58,26,8,10,1, 
25-07-20,59,22,7,5,1, 
26-07-20,51,15,6,4,2, 
27-07-20,40,18,7,5,1, 
28-07-20,44,23,12,7,2, 
29-07-20,49,20,10,5,2, 
30-07-20,48,18,8,5,2, 
31-07-20,43,17,6,4,1, 
01-08-20,41,14,5,4,2, 
02-08-20,32,17,5,4,1, 
03-08-20,37,19,5,4, , 
04-08-20,44,21,8,5, , 
05-08-20,48,27,7,7,1, 
06-08-20,57,28,5,8, , 
07-08-20,57,25,4,6, , 
08-08-20,49,19,5,6, , 
09-08-20,42,18,5,5, , 
10-08-20,42,25,5,6, , 
11-08-20,45,17,4,4, , 
12-08-20,41,21,4,6, , 
13-08-20,51,25,5,8, , 
14-08-20,56,31,4,7, , 
15-08-20,61,28,8,5, , 
16-08-20,57,32,8,7, , 
17-08-20,63,40,13,6,1, 
18-08-20,73,32,8,7, , 
19-08-20,65,38,5,7, , 
20-08-20,76,29,7,6, , 
21-08-20,60,23,17,5, , 
22-08-20,55,23,7,6, , 
23-08-20,52,27,8,6, , 
24-08-20,58,28,11,8, , 
25-08-20,57,26,10,5, , 
26-08-20,53,26,5,4, , 
27-08-20,51,28,4,5, , 
28-08-20,60,27,16,8, , 
29-08-20,62,31,13,8, , 
30-08-20,68,23,7,5, , 
31-08-20,52,24,11,9, , 
01-09-20,52,36,9,10, , 
02-09-20,71,29,6,8, , 
03-09-20,63,26,7,7, , 
04-09-20,60,24,6,6, , 
05-09-20,54,17,12,2, , 
06-09-20,44,16,7,3, , 
07-09-20,40,22,9,4, , 
08-09-20,50,29,3,5, , 
09-09-20,67,26,16,7, , 
10-09-20,57,19,8,6, , 
11-09-20,41,20,3,7, , 
12-09-20,42,18,2,6, , 
13-09-20,44,17,7,6,1, 
14-09-20,39,24,12,10, , 
15-09-20,47,26,16,11, , 
16-09-20,52,28,14,10, , 
17-09-20,50,24,5,9, , 
18-09-20,50,16,5,4, , 
19-09-20,39,16,4,3, , 
20-09-20,26,31,11,4, , 
21-09-20,55,39,12,9, , 
22-09-20,62,42,15,13, , 
23-09-20,77,21,9,3, , 
24-09-20,37,32,13,4, , 
25-09-20,46,33,6,6, , 
26-09-20,83,20,8,7, , 
27-09-20,49,27,6,7, , 
28-09-20,49,18,7,8, , 
29-09-20,38,25,11,11,1, 
30-09-20,57,26,6,9,1, 
01-04-20,73,31,1,2,4, 
02-04-20,62,27,5,3, , 
03-04-20,54,27,4,2, , 
04-04-20,62,28,8,2, , 
05-04-20,63,28,6,2, , 
06-04-20,61,39,9,4,10, 
07-04-20,74,37,6,6, , 
08-04-20,70,30,9,4, , 
09-04-20,61,29,13,4, , 
10-04-20,69,30,9,5, , 
11-04-20,73,19,9,2, , 
12-04-20,68,40,12,12, , 
13-04-20,89,50,23,7, , 
14-04-20,110,44,21,7, , 
15-04-20,90,27,12,4, , 
16-04-20,69,23,11,3,8, 
17-04-20,56,23,14,4, , 
18-04-20,53,26,11,6, , 
19-04-20,57,23,11,4, , 
20-04-20,60,22,10,3,6, 
21-04-20,53,31,14,5, , 
22-04-20,68,34,18,4, , 
23-04-20,70,31,18,8, , 
24-04-20,72,34,10,8, , 
25-04-20,75,47,29,13, , 
26-04-20,90,52,20,13, , 
27-04-20,114,46,33,7, , 
28-04-20,97,51,23,9, , 
29-04-20,108,40,18,7, , 
30-04-20,87,30,16,4, , 
01-05-20,62,33,12,2, , 
02-05-20,60,27,10,1, , 
03-05-20,58,30,15,3, , 
04-05-20,68,32,16,5, , 
05-05-20,70,28,11,3, , 
06-05-20,65,24,10,2, , 
07-05-20,56,25,5,3, , 
08-05-20,52,17,7,3, , 
09-05-20,37,16,8,4, , 
10-05-20,34,25,5,4, , 
11-05-20,49,37,22,7, , 
12-05-20,76,23,11,3, , 
13-05-20,57,25,12,3, , 
14-05-20,54,22,9,3, , 
15-05-20,53,24,9,2, , 
16-05-20,58,23,9,3, , 
17-05-20,57,25,10,4, , 
18-05-20,55,20,9,4, , 
19-05-20,49,24,9,3, , 
20-05-20,56,28,10,3, , 
21-05-20,61,40,17,5, , 
22-05-20,85,47,11,5, , 
23-05-20,85,46,9,5, , 
24-05-20,87,39,6,7, , 
25-05-20,91,39,10,8, , 
26-05-20,92,24,10,7, , 
27-05-20,53,23,12,6, , 
28-05-20,50,26,15,7, , 
29-05-20,54,18,10,6, , 
30-05-20,42,18,8,4, , 
31-05-20,47,23,11,4, , 
01-06-20,48,18,9,3, , 
02-06-20,43,20,8,5, , 
03-06-20,48,24,9,7, , 
04-06-20,53,22,4,7, , 
05-06-20,48,20,8,5, , 
06-06-20,39,17,7,4, , 
07-06-20,32,16,6,4, , 
08-06-20,34,21,4,5, , 
09-06-20,45,18,5,5, , 
10-06-20,40,23,12,6, , 
11-06-20,54,22,13,7, , 
12-06-20,46,21,16,5, , 
13-06-20,47,21,13,4, , 
14-06-20,52,18,5,5, , 
15-06-20,42,17,6,5, , 
16-06-20,42,21,4,7, , 
17-06-20,49,25,8,9, , 
18-06-20,61,23,6,7, , 
19-06-20,59,23,13,6, , 
20-06-20,52,22,15,5, , 
21-06-20,52,26,8,8, , 
22-06-20,60,25,16,9, , 
23-06-20,60,26,15,7, , 
24-06-20,61,25,12,7, , 
25-06-20,54,20,7,6, , 
26-06-20,48,22,12,8, , 
27-06-20,54,19,11,6, , 
28-06-20,50,21,11,5, , 
29-06-20,48,20,9,7, , 
30-06-20,48,21,8,5, , 
01-01-20,74,46,11,15,1, 
02-01-20,93,52,12,18,1, 
03-01-20,102,56,16,18, , 
04-01-20,121,61,15,17, , 
05-01-20,130,66,14,27,1, 
06-01-20,135,69,15,22,1, 
07-01-20,139,71,13,22,1, 
08-01-20,149,70,18,21,1, 
09-01-20,140,93,13,30,2, 
10-01-20,180,64,16,14,1, 
11-01-20,138,56,15,10,2, 
12-01-20,120,56,12,12, , 
13-01-20,116,56,11,12, , 
14-01-20,112,61,13,15, , 
15-01-20,122,67,15,13, , 
16-01-20,127,70,19,15, , 
17-01-20,143,74,12,11,1, 
18-01-20,162,72,18,11, , 
19-01-20,159,76,17,16, , 
20-01-20,163,67,16,14, , 
21-01-20,147,63,12,16, , 
22-01-20,124,58,9,10, , 
23-01-20,115,48,7,8, , 
24-01-20,84,39,10,5, , 
25-01-20,69,33,7,7, , 
26-01-20,62,40,10,10,1, 
27-01-20,81,47,13,12,1, 
28-01-20,101,49,20,16, , 
29-01-20,104,56,21,15,1, 
30-01-20,110,68,19,13, , 
31-01-20,138,88,27,17, , 
01-02-20,161,85,25,14,1, 
02-02-20,162,80,22,13, , 
03-02-20,159,71,17,10,1, 
04-02-20,145,58,17,10, , 
05-02-20,109,48,14,8, , 
06-02-20,91,59,18,13, , 
07-02-20,108,59,22,11,1, 
08-02-20,118,72,16,14, , 
09-02-20,138,75,19,13, , 
10-02-20,138,71,22,15,1, 
11-02-20,154,58,13,9,1, 
12-02-20,126,32,7,5, , 
13-02-20,58,29,6,5, , 
14-02-20,55,37,10,8, , 
15-02-20,75,26,8,7, , 
16-02-20,58,38,13,10, , 
17-02-20,73,62,15,11,1, 
18-02-20,118,81,21,17,1, 
19-02-20,149,86,18,19,1, 
20-02-20,167,79,18,14, , 
21-02-20,154,82,17,13,1, 
22-02-20,150,80,21,14,1, 
23-02-20,151,87,21,19,1, 
24-02-20,166,89,25,13,1, 
25-02-20,164,73,20,10,1, 
26-02-20,145,75,11,17,1, 
27-02-20,140,50,13,9, , 
28-02-20,104,49,12,9, , 
29-02-20,96,51,13,6, , 
01-03-20,91,47,12,6, , 
02-03-20,91,33,9,4, , 
03-03-20,66,29,4,5,1, 
04-03-20,56,31,5,6, , 
05-03-20,63,30,5,5, , 
06-03-20,61,32,4,6, , 
07-03-20,63,39,12,4, , 
08-03-20,75,56,24,10, , 
09-03-20,119,49,14,9, , 
10-03-20,107,54,14,10,1, 
11-03-20,111,44,8,6, , 
12-03-20,94,37,6,5, , 
13-03-20,80,35,7,5, , 
14-03-20,72,37,5,9, , 
15-03-20,81,57,12,15, , 
16-03-20,109,46,13,4, , 
17-03-20,79,44,9,5, , 
18-03-20,84,40,11,5, , 
19-03-20,75,36,11,5, , 
20-03-20,75,35,13,5, , 
21-03-20,79,29,13,5, , 
22-03-20,69,30,12,7,1, 
23-03-20,65,28,9,6, , 
24-03-20,61,31,9,4, , 
25-03-20,70,25,8,4, , 
26-03-20,59,27,7,4, , 
27-03-20,59,37,11,4, , 
28-03-20,81,30,10,3, , 
29-03-20,72, , , , , 
